"","imdb","iw","original_title","year","genre","country","language","description","avg_vote","votes","budget","log_budget","usa_gross_income","log_usa_gross_income","worldwide_gross_income","log_worldwide_gross_income","metascore","reviews_from_users","reviews_from_critics","ope","con","ext","agr","neu","age","gender","relation","duration","genre_family","genre_fantasy","genre_sport","genre_biography","genre_crime","genre_romance","genre_animation","genre_music","genre_comedy","genre_war","genre_sci.fi","genre_horror","genre_western","genre_thriller","genre_mystery","genre_drama","genre_action","genre_history","genre_documentary","genre_musical","genre_adventure"
"4296","tt0285823","0","Once Upon a Time in Mexico",2003,"Action, Crime, Thriller","USA, Mexico","English, Spanish","Hitman ""El Mariachi"" becomes involved in international espionage involving a psychotic CIA agent and a corrupt Mexican general.",6.4,151782,NA,NA,56359780,17.8472663415095,98769390,18.4082982969009,56,479,169,NA,NA,NA,NA,NA,NA,NA,NA,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4297","tt0285861","0","Owning Mahowny",2003,"Crime, Drama, Thriller","Canada, UK","English","A bank manager with: (a) a gambling problem and (b) access to a multimillion dollar account gets into a messy situation. Based on the story of the largest one-man bank fraud in Canadian history.",7.1,12427,NA,NA,1011871,13.8273116503488,1271244,14.0555065065698,70,84,78,NA,NA,NA,NA,NA,NA,NA,NA,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4298","tt0286106","0","Signs",2002,"Drama, Mystery, Sci-Fi","USA","English, Portuguese","A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.",6.7,331801,NA,NA,227966634,19.2447098341044,408247917,19.8273851875361,59,2417,227,NA,NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4299","tt0286112","0","Siu Lam juk kau",2001,"Action, Comedy, Family","Hong Kong, China","Cantonese, Mandarin","A young Shaolin follower reunites with his discouraged brothers to form a soccer team using their martial art skills to their advantage.",7.3,73136,NA,NA,489600,13.1013440101803,42776760,17.571505522425,68,263,253,NA,NA,NA,NA,NA,NA,NA,NA,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4300","tt0286244","0","Les triplettes de Belleville",2003,"Animation, Comedy, Drama","France, Belgium, Canada, UK, Latvia, USA","French, Portuguese, English","When her grandson is kidnapped during the Tour de France, Madame Souza and her beloved pooch Bruno team up with the Belleville Sisters--an aged song-and-dance team from the days of Fred Astaire--to rescue him.",7.8,49948,NA,NA,7007149,15.7624414715764,14776760,16.5085662342976,91,315,176,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4301","tt0286261","0","All or Nothing",2002,"Drama","UK, France","English, Arabic, French","In a poor working class London home Penny's love for her partner, taxi-driver Phil, has run dry, but when an unexpected tragedy occurs, they and their local community are brought together, and they rediscover their love.",7.5,9815,NA,NA,201546,12.2137729221564,2845696,14.861318235342,72,95,83,NA,NA,NA,NA,NA,NA,NA,NA,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4302","tt0286306","0","Deathwatch",2002,"Drama, Horror, War","UK, Germany","English, French, German","In the middle of World War I, nine British soldiers caught behind enemy lines seek refuge in a complex network of German trenches. What they soon discover is that they aren't alone - and it isn't a German soldier that's hunting them down.",6,10503,NA,NA,NA,NA,2270658,14.6355802152954,NA,127,50,NA,NA,NA,NA,NA,NA,NA,NA,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4303","tt0286499","0","Bend It Like Beckham",2002,"Comedy, Drama, Romance","UK, Germany, USA","English, Punjabi, Hindi, German","The daughter of orthodox Sikh rebels against her parents' traditionalism and joins a football team.",6.6,103036,NA,NA,32543449,17.2980866467628,76585828,18.153922604539,66,451,164,NA,NA,NA,NA,NA,NA,NA,NA,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4304","tt0286716","0","Hulk",2003,"Action, Sci-Fi","USA","English, Spanish","Bruce Banner, a genetics researcher with a tragic past, suffers an accident that causes him to transform into a raging green monster when he gets angry.",5.6,248768,NA,NA,132177234,18.6996542617776,245285165,19.3179320304329,54,1485,287,NA,NA,NA,NA,NA,NA,NA,NA,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4305","tt0286751","0","Kairo",2001,"Horror, Mystery, Sci-Fi","Japan","Japanese","Two groups of people discover evidence that suggests spirits may be trying to invade the human world through the Internet.",6.5,16076,NA,NA,51420,10.8477824808199,318451,12.671223896005,70,162,163,NA,NA,NA,NA,NA,NA,NA,NA,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
